제목1,제목2,seq_score
2009학년도 1학기 전남대학 수학안내,2009학년도 1학기 경상대학 수학안내,0.9047619047619048
2022학년도 2학기 동국대학교 교류 수학 안내,2022학년도 2학기 전북대학교 교류 수학 안내,0.9230769230769232
2022학년도 2학기 외국인 유학생 튜터링 프로그램 홍보 협조 요청,2022학년도 2학기 외국인 유학생 튜터링 프로그램 홍보 협조 요청-7.21.목까지,0.925
[공통] 2022-2학기 재학생 등록금 1차 추가납부기간 알림,2022학년도 2학기 재학생 등록금 1차 추가 납부기간 안내,0.8125
강원대학교 '2024 강원그룹 가상회사 인턴십 프로그램' 참가자 모집 안내,강원대학교 '2024 강원그룹 가상회사 인턴십 프로그램' 안내,0.9014084507042254
2018학년도 1학기 인하대학교 교류 수학 안내,2018학년도 1학기 숙명여자대학교 교류 수학 안내,0.8888888888888888
개인형 이동장치(PM) 교내 운행 전면 금지 알림,개인형 이동장치(PM) 교내 운행 전면 금지 안내,0.92
2021년도 1학기 일반대학원 학위논문제출자격시험 시행 추진계획,2021학년도 1학기 일반대학원 학위논문제출자격시험 시행 추진계획 알림,0.945945945945946
2016학년도 신입생 인적성검사 실시,2016학년도 신입생 인적성검사 실시 안내,0.9302325581395348
2011학년도 1학기 특별장학금 선발계획 알림(4.12-4.20),2011학년도 1학기 특별장학금 선발계획 알림,0.8928571428571429
2023학년도 교육지원 모니터 요원 모집 안내-9.15.금.18시까지,2023학년도 교육지원 모니터 요원 모집 안내,0.847457627118644
(5/24마감) 2025년 고교-대학 학습 동행 프로그램 대학생 멘토 모집,2025년 고교-대학 학습 동행 프로그램 대학생 멘토 모집,0.9117647058823528
[안내]2015학년도 경력마일리지 제도 운영 재안내,2015학년도 경력마일리지 제도 운영 재안내,0.96
2022학년도 겨울 계절수업 국가유공자 본인의 계절수업료 면제 안내,2022학년도 겨울 계절수업 국가유공자（본인） 수업료 면제 안내,0.9428571428571428
2014학년도 국제어학원 봄학기 영어특강,2014학년도 국제어학원 봄학기 영어특강 안내,0.9361702127659576
2016 강원혁신도시 이전공공기관 합동채용설명회 안내,2016년 상반기 강원혁신도시 이전공공기관 합동채용설명회 개최 계획 안내,0.8405797101449275
2019학년도 제5차 교내 졸업자격인증 모의토익 시험일장 안내(12.2.~12.6.),2019학년도 제5차 교내 졸업자격인증 모의토익 시험일자 안내,0.8918918918918919
2015학년도 중국 남경농업대학 섬머스쿨 파견 신청[~6/9],2015학년도 중국 남경농업대학 섬머스쿨 파견자 선발,0.8813559322033898
2021학년도 2학기 국가근로장학금 학생신청 기간 안내,2021학년도 2학기 국가근로장학금 학생신청기간 안내,0.9830508474576272
2021 후기 조기졸업 신청 안내,[학부] 2021학년도 후기 조기졸업 신청 안내,0.8571428571428571
두을장학재단 제 22기 두을장학생 선발 안내,[장학] 두을장학재단 제22기 두을장학생 선발 안내,0.92
"2024 KNU 리빙랩 메이커톤 개최 및 모집 안내-7.31.수까지,행사8.13-8.14",2024 KNU 리빙랩 메이커톤 개최 및 모집 안내,0.8
2024년도 2학기 국가근로장학금 학생신청기간 안내,2024년 2학기 국가근로장학생 장애학생도우미 신청 안내,0.8135593220338984
2018학년도 2학기 경영대학 전산실 학과장특별장학생 모집 공고,2018학년도 2학기 회계학전공 사무실 학과장특별장학생 모집 공고,0.8450704225352113
